climber,ascent_date,suggested_grade,route,official_grade,parsed_dates,climbing_style,weight,date,year,official_grade_consistent
Tony Barley,21st May 1966,,Barley Mow,7a,21-05-1966,Boulder,worked,1966-05-21,1966.0,7a
Adam Ondra,22nd Jul 2016,,Barracuda,8c+,22-07-2016,Lead,onsight,2016-07-22,2016.0,8c+
Pete Whittaker,Sep 2022,,Bar Wars,e8,19-09-2022,Lead,worked,2022-09-19,2022.0,8a+
Emily Fell,,,Bat Bites Back Again,7c,,Boulder,worked,,,7c
Chris Plant,1990,,Battle Of The Little Big Orme,8a,19-11-1990,Lead,worked,1990-11-19,1990.0,8a
Dai Koyamada,26th Oct 2023,,Batto,8b+,26-10-2023,Boulder,worked,2023-10-26,2023.0,8b+
Alan Rouse,1975,,Beatnik,e5,19-11-1975,Boulder,,1975-11-19,1975.0,7a+
Ned Feehally,,,Beef Manifold,8a,,Boulder,worked,,,8a
Ainhize Belar,May 2023,,Begi Puntuan,9a,19-05-2023,Lead,worked,2023-05-19,2023.0,9a
Simon Hibbeler,,,Be Kind,8b+,,Boulder,worked,,,8b+
Simon Hibbeler,,,Be Kinda Soft,8b+,,Boulder,worked,,,8b+
Adam Ondra,7th Apr 2012,,Bella Regis,8c,07-04-2012,Lead,onsight,2012-07-04,2012.0,8c
John Redhead,19th Mar 1984,,Bell Dance,e5,19-03-1984,Lead,worked,1984-03-19,1984.0,7a+
Alex Barrows,17th Sep 2017,,Bellys Gonna Get Ya,9a,17-09-2017,Lead,worked,2017-09-17,2017.0,9a
Frank Cannings,,,Bender,e3,,Lead,,,,6b+
Steve Dunning,,,Bens Groove Sds,7c+,,Boulder,worked,,,7c+
Ian Cummins,,,Beths Traverse,7c,,Boulder,worked,,,7c
Ben Heason,2002,,Better Dead Than Smeg,e6,19-11-2002,Lead,onsight,2002-11-19,2002.0,7b+
Garth Miller,,,Better Than Life,8b+,,Lead,onsight,,,8b+
Sébastien Bouin,22nd Oct 2020,9b/9b+,Beyond Integral,9b+,22-10-2020,Lead,worked,2020-10-22,2020.0,9b+
Richard Broomhead,Jun 1980,,Bifur,vs,19-06-1980,Lead,,1980-06-19,1980.0,5a
Jakob Schubert,20th Sep 2023,,B.i.g,9c,20-09-2023,Lead,worked,2023-09-20,2023.0,9c
Drew Ruana,Jul 2022,,Big Arms,8c,19-07-2022,Boulder,worked,2022-07-19,2022.0,8c
Simon Lee,5th Aug 2016,,Big Cigar,7c,05-08-2016,Lead,worked,2016-05-08,2016.0,7c
Simon Lorenzi,23rd Jan 2022,8C+,Big Conviction,8c+,23-01-2022,Boulder,worked,2022-01-23,2022.0,8c+
Stefan Scarperi,22nd Oct 2020,,Big Illusion,8c,22-10-2020,Boulder,worked,2020-10-22,2020.0,8c
Ben Bransby,4th Jun 2024,8B,Big Leviathan,8b,04-06-2024,Boulder,worked,2024-04-06,2024.0,8b
Ben Bransby,Aug 2024,8C,Big Leviathan Extended (sans Resin),8c,19-08-2024,Boulder,worked,2024-08-19,2024.0,8c
Dave MacLeod,Aug 2008,,Big Long Now,8b+,19-08-2008,Boulder,worked,2008-08-19,2008.0,8b+
Iker Pou,29th Apr 2015,,Big Men,9a+,29-04-2015,Lead,worked,2015-04-29,2015.0,9a+
Dylan Chuat,17th Jul 2024,,Big Noise,8c,17-07-2024,Boulder,worked,2024-07-17,2024.0,8c
Dylan Chuat,17th Jul 2024,,Big Nose,8c,17-07-2024,Boulder,worked,2024-07-17,2024.0,8c
Solly Kemball-Dorey,Jul 2022,,Bikini Bottom,9a,19-07-2022,Boulder,worked,2022-07-19,2022.0,9a
Aidan Roberts,15th Aug 2023,,Bilateral,8b+,15-08-2023,Boulder,worked,2023-08-15,2023.0,8b+
Rob Mirfin,5th Aug 2010,,Binary Finary,8b,05-08-2010,Lead,worked,2010-05-08,2010.0,8b
Arnaud Petit,1996,,Biographie (l1),8c+,19-11-1996,Lead,worked,1996-11-19,1996.0,8c+
Mélissa Le Nevé,5th May 2020,,Bionic Commando,8c+,05-05-2020,Lead,worked,2020-05-05,2020.0,8c+
Mejdi Schalck,8th Sep 2023,,Bio Sharma Graphie L2,9a,08-09-2023,Lead,worked,2023-08-09,2023.0,9a
Chris Sharma,2002,,Biotop,8b+,19-11-2002,Lead,onsight,2002-11-19,2002.0,8b+
Arthur Dolphin,,,Birds Nest Crack,hs,,Solo,onsight,,,4c
Naomi Buys,May 2014,,Birdsong,e7,19-05-2014,Lead,worked,2014-05-19,2014.0,7c+
Allison Vest,23rd Jul 2023,,Bitch!,8b,23-07-2023,Boulder,worked,2023-07-23,2023.0,8b
Adam Ondra,28th Sep 2023,,B Je To!,9b,28-09-2023,Lead,worked,2023-09-28,2023.0,9b
Robin Barker,1993,,Black Car Burning,e7,19-11-1993,Lead,worked,1993-11-19,1993.0,7c+
Micky Page,,,Black Eagle,8b+,,Boulder,worked,,,8b+
Fred Nicole,2002,,Black Eagle Assis (pre Break),8b+,19-11-2002,Boulder,worked,2002-11-19,2002.0,8b+
Vadim Timonov,30th Apr 2023,,Blackflip,8c,30-04-2023,Boulder,worked,2023-04-30,2023.0,8c
Vadim Timonov,17th May 2023,8C+/9A,Blackflip Sds,9a,17-05-2023,Boulder,worked,2023-05-17,2023.0,9a
Matilda Söderlund,26th Oct 2021,,Black Is Basic,8c,26-10-2021,Lead,worked,2021-10-26,2021.0,8c
Katie Lamb,2nd Oct 2022,,Black Magic,8b,02-10-2022,Boulder,worked,2022-02-10,2022.0,8b
Malcolm Smith,19th Sep 2007,,Blackout,8b,19-09-2007,Lead,worked,2007-09-19,2007.0,8b
Geoff Weigand,1992,,Blackout,8b+,19-11-1992,Lead,worked,1992-11-19,1992.0,8b+
Toru  Nakajima,19th Aug 2009,,Black Out,e9,19-08-2009,Solo,worked,2009-08-19,2009.0,8b
Martin Stráník,21st Apr 2021,,Black Panther,8c,21-04-2021,Boulder,worked,2021-04-21,2021.0,8c
Chris Sharma,7th Nov 2023,,Black Pearl,9a+,07-11-2023,Deep Water Solo,worked,2023-07-11,2023.0,9a+
Ben Harnden,Sep 2022,8c/8c+,Blade Runner,e11,19-09-2022,Lead,worked,2022-09-19,2022.0,8c+
Jim Pope,14th May 2022,,Blankety Blank,8a,14-05-2022,Boulder,worked,2022-05-14,2022.0,8a
Adam Ondra,27th Mar 2011,,Blanquita,8c+,27-03-2011,Lead,onsight,2011-03-27,2011.0,8c+
Glenda Huxter,23rd May 1996,,Blessed Are The Weak,e5,23-05-1996,Lead,,1996-05-23,1996.0,7a+
Isaac Caldiero,,,Bling,8b+,,Boulder,worked,,,8b+
Alex Barrows,27th Feb 2024,,Blomu R2,8b,27-02-2024,Lead,flash,2024-02-27,2024.0,8b
Rob Hunter,2020,,Blondie Sds,8b+,19-11-2020,Boulder,worked,2020-11-19,2020.0,8b+
Jacopo Larcher,24th Oct 2021,,Blood Diamond,e9 (approx),24-10-2021,Lead,worked,2021-10-24,2021.0,8b
Malcolm Smith,16th Jun 2010,,Blood Diamond,8c+,16-06-2010,Lead,worked,2010-06-16,2010.0,8c+
Adam Hocking,Jun 2018,,Blood Eagle,e9,19-06-2018,Lead,worked,2018-06-19,2018.0,8b
Jim Pope,2021,,Bloodhound,8b,19-11-2021,Boulder,worked,2021-11-19,2021.0,8b
Joe Wilson,17th Dec 2013,,Blood Sport Lh,8b+,17-12-2013,Boulder,worked,2013-12-17,2013.0,8b+
Camille Coudert,2024,,Bloody Face,8b+,19-11-2024,Boulder,worked,2024-11-19,2024.0,8b+
John Streetly,10th Jun 1952,,Bloody Slab,e3,10-06-1952,Lead,onsight,1952-10-06,1952.0,6b+
Charles Albert,,,Bloody Sunday,8b,,Boulder,worked,,,8b
Drew Ruana,,,Bloody Sunday Low Left,8c,,Boulder,worked,,,8c
Drew Ruana,30th Apr 2021,,Bloody Sunday Sds,8c+,30-04-2021,Boulder,worked,2021-04-30,2021.0,8c+
Richard Broomhead,1980,,Bloody Tourists,e3,19-11-1980,Boulder,,1980-11-19,1980.0,6b+
Dan Turner,5th Oct 2014,,Blue Eyes And Exit Wounds,8b,05-10-2014,Boulder,worked,2014-05-10,2014.0,8b
Ken Palmer,2001,,Blue Planet,7b+,19-11-2001,Deep Water Solo,worked,2001-11-19,2001.0,7b+
Gp Salvo,,,Blunt Sit,8b+,,Boulder,worked,,,8b+
Adam Ondra,1st Oct 2019,,Blut Und Honig,8c+,01-10-2019,Lead,onsight,2019-01-10,2019.0,8c+
Ian Carr,Mar 1988,,Boat To Naxos,e7,19-03-1988,Lead,worked,1988-03-19,1988.0,7c+
Simon Young,1998,,Bobangi,e7,19-11-1998,Lead,worked,1998-11-19,1998.0,7c+
Will Perrin,,,Bobbys Groove,8a,,Lead,worked,,,8a
Dave MacLeod,22nd May 2006,,Body Blow,8b+,22-05-2006,Lead,worked,2006-05-22,2006.0,8b+
Ron Fawcett,1984,,Body Machine,7c+,19-11-1984,Lead,worked,1984-11-19,1984.0,7c+
Dave MacLeod,8th Oct 2006,,Body Swerve,8c,08-10-2006,Lead,worked,2006-08-10,2006.0,8c
Florian Wientjes,8th Mar 2021,8C/8C+,Bokassas Fridge Sds,8c,08-03-2021,Boulder,worked,2021-08-03,2021.0,8c
Adam Ondra,2nd Mar 2022,9b (hard),Bomba,9b,02-03-2022,Lead,worked,2022-02-03,2022.0,9b
James Pearson,2015,,Bonanno Pisano,e9,19-11-2015,Lead,worked,2015-11-19,2015.0,8b
Buster Martin,6th Mar 2021,,Bongata   Rodillar,8b+,06-03-2021,Lead,flash,2021-06-03,2021.0,8b+
Mark Pretty,9th Aug 1988,,Bored Of The Lies,7b+,09-08-1988,Lead,worked,1988-09-08,1988.0,7b+
Lucy Creamer,,,Boss Hogg,e6,,Lead,onsight,,,7b+
Prudence Morgan-Wood,11th Jun 2024,,Botanics,8b,11-06-2024,Lead,worked,2024-11-06,2024.0,8b
Dan Tounley,2001,,Bou I Prou,8b,19-11-2001,Lead,worked,2001-11-19,2001.0,8b
Franco Cookson,5th Mar 2017,,Boulby Wall,e8,05-03-2017,Lead,worked,2017-05-03,2017.0,8a+
Matt Fultz,Jun 2022,,Brace For The Cure,8c+,19-06-2022,Boulder,worked,2022-06-19,2022.0,8c+
Robin Richmond,17th Sep 2003,,Branded,e8,17-09-2003,Lead,worked,2003-09-17,2003.0,8a+
Richard Broomhead,Jun 1980,,Brandybuck,hvs,19-06-1980,Lead,,1980-06-19,1980.0,5b
John Dunne,1988,,Breach Of The Peace,8a,19-11-1988,Lead,worked,1988-11-19,1988.0,8a
Mick Fowler,7th Jul 1979,,Breakaway,e5,07-07-1979,Alternate Leads,onsight,1979-07-07,1979.0,7a+
Tala Hepburn,24th Jan 2023,,Break Traverse,7c+,24-01-2023,Boulder,worked,2023-01-24,2023.0,7c+
Pete Oxley,1987,,Bream In Black,7a+,19-11-1987,Boulder,,1987-11-19,1987.0,7a+
Steve McClure,2002,8a+,Brean Topping,8b,19-11-2002,Lead,worked,2002-11-19,2002.0,8b
Dave Pegg,21st May 1987,,Breathless,e6,21-05-1987,Lead,worked,1987-05-21,1987.0,7b+
Chris Savage,24th Jun 2009,,Bristols Got Talent,8c,24-06-2009,Lead,worked,2009-06-24,2009.0,8c
Loïc Zehani,15th Mar 2023,,Brooklyn,9b,15-03-2023,Lead,worked,2023-03-15,2023.0,9b
Tanguy Merard,10th Apr 2024,,Brouncha,9a,10-04-2024,Lead,worked,2024-10-04,2024.0,9a
Kim Carrigan,Aug 1982,,Brown Corduroy Trousers,e7,19-08-1982,Lead,worked,1982-08-19,1982.0,7c+
Joe Brown,1948,,Browns Eliminate,e2,19-11-1948,Lead,onsight,1948-11-19,1948.0,6a+
Marc-André Leclerc,,,Bruce Lee Vs The Kiss Army,e8,,Lead,worked,,,8a+
Chris Savage,5th Oct 2009,,Brujo,8b,05-10-2009,Lead,onsight,2009-05-10,2009.0,8b
Jerry Moffatt,2002,,Brutal Arête,7b,19-11-2002,Boulder,worked,2002-11-19,2002.0,7b
Adam Ondra,25th May 2020,,Brutal Rider,8c+,25-05-2020,Boulder,worked,2020-05-25,2020.0,8c+
Tom Proctor,1975,,Bubbles Wall,e4,19-11-1975,Boulder,,1975-11-19,1975.0,6c+
Emma Twyford,Aug 2014,,Bucket Dynasty,e7,19-08-2014,Lead,flash,2014-08-19,2014.0,7c+
Steve McClure,Nov 2023,,Budo,8b,19-11-2023,Lead,onsight,2023-11-19,2023.0,8b
Pete Oxley,13th Sep 1987,,Bullet The Blue Sky,7b+,13-09-1987,Lead,worked,1987-09-13,1987.0,7b+
Buster Martin,,,Bumbayé,8c+,,Lead,worked,,,8c+
Jim Pope,Oct 2023,,Burden Of Seams,8b,19-10-2023,Boulder,worked,2023-10-19,2023.0,8b
Al Phizacklea,1st Apr 1989,,Burning Desire,e5,01-04-1989,Lead,worked,1989-01-04,1989.0,7a+
Tom Proctor,1979,,Cabbage Crack,e4,19-11-1979,Lead,,1979-11-19,1979.0,6c+
Frank Cannings,14th Feb 1970,,Cadillac,vs,14-02-1970,Lead,,1970-02-14,1970.0,5a
Jorge Díaz-Rullo,2nd Nov 2021,,Cafe Solo,9b,02-11-2021,Lead,worked,2021-02-11,2021.0,9b
Cliff Phillips,16th Jun 1984,,California Arete,e1,16-06-1984,Solo,onsight,1984-06-16,1984.0,5c
James McHaffie,Apr 2000,,Camouflage,e7,19-04-2000,Lead,onsight,2000-04-19,2000.0,7c+
Eric Rayson,1967,,Canada Crack,hvs,19-11-1967,Lead,,1967-11-19,1967.0,5b
Garth Miller,1997,,Cannibals Direct,8b+,19-11-1997,Lead,onsight,1997-11-19,1997.0,8b+
Dan Varian,,,Capability Brawn,8b,,Boulder,worked,,,8b
Pete Whittaker,1st Mar 2008,,Captain Calamity,e7,01-03-2008,Lead,worked,2008-01-03,2008.0,7c+
Ron Fawcett,1979,,Carnage,e2,19-11-1979,Lead,,1979-11-19,1979.0,6a+
Vita Lukan,21st Oct 2021,8c/8c+,Cascabel,8c,21-10-2021,Lead,worked,2021-10-21,2021.0,8c
Mark Katz,2001,,Caseg Groove Sds,8a,19-11-2001,Boulder,worked,2001-11-19,2001.0,8a
Dave Graham,2nd Nov 2022,,Cassim,8c,02-11-2022,Boulder,worked,2022-02-11,2022.0,8c
Riccardo Cassin,Jul 1937,,Cassin Route,td,19-07-1937,Alternate Leads,alpine,1937-07-19,1937.0,td
Anne Arran,,,Cauchemar De Elephant,8a,,Lead,worked,,,8a
Will Bosi,Sep 2024,,Cavaleiro Negro,8a+,19-09-2024,Boulder,flash,2024-09-19,2024.0,8a+
Ivar Berg,3rd Jun 1916,,Cave Arete Indirect,e1,03-06-1916,Solo,worked,1916-03-06,1916.0,5c
Ivar Berg,4th Jun 1916,,Cave Crack,hvs,04-06-1916,Solo,,1916-04-06,1916.0,5b
Mick Fowler,,,Caveman,e6,,Lead,onsight,,,7b+
Holly Rees,30th Oct 2021,,Cave Pervert,7c+,30-10-2021,Boulder,worked,2021-10-30,2021.0,7c+
Ron Fawcett,1982,,Cave Route Left Hand,7c+,19-11-1982,Lead,worked,1982-11-19,1982.0,7c+
Don Whillans,1958,,Cave Wall,e3,19-11-1958,Lead,,1958-11-19,1958.0,6b+
Ainhize Belar,18th Sep 2024,,Celedon,9a,18-09-2024,Lead,worked,2024-09-18,2024.0,9a
Joe Brown,23rd Jul 1995,,Cemetery Waits,e7,23-07-1995,Lead,worked,1995-07-23,1995.0,7c+
Richard Harrison,9th May 1980,,Certain Surprise,e3,09-05-1980,Lead,,1980-09-05,1980.0,6b+
Adam Ondra,5th Oct 2016,,C’est La Vie,8c+,05-10-2016,Lead,onsight,2016-05-10,2016.0,8c+
Dan Turner,15th Sep 2018,,Chabang,8b,15-09-2018,Boulder,worked,2018-09-15,2018.0,8b
Adam Ondra,7th May 2013,,Chambao,8c+,07-05-2013,Lead,onsight,2013-07-05,2013.0,8c+
Ed Drummond,1975,,Chameleon,e4,19-11-1975,Lead,,1975-11-19,1975.0,6c+
Josh Ibbertson,Sep 2024,,Change P1,9a+,19-09-2024,Lead,worked,2024-09-19,2024.0,9a+
Mathew Wright,2024,,Changing Tides,e8,19-11-2024,Lead,worked,2024-11-19,2024.0,8a+
Julien Nadiras,2002,,Chaos,8b,19-11-2002,Boulder,worked,2002-11-19,2002.0,8b
Richard Broomhead,Jun 1969,,Charge,vs,19-06-1969,Boulder,,1969-06-19,1969.0,5a
Ben Tetler,5th Oct 1999,,Charm,e8,05-10-1999,Solo,worked,1999-05-10,1999.0,8a+
Tina Breslin,14th Oct 2023,,Chasing Rainbows,7c,14-10-2023,Boulder,worked,2023-10-14,2023.0,7c
Adrian Berry,2nd Sep 1999,,Chasing The Dragon,e8,02-09-1999,Lead,worked,1999-02-09,1999.0,8a+
Dave Sutcliffe,2002,,Chasing The Storm,e6,19-11-2002,Lead,worked,2002-11-19,2002.0,7b+
Adam Ondra,27th Mar 2013,,Chaxiraxi,9b,27-03-2013,Lead,worked,2013-03-27,2013.0,9b
Claire Bell,2004,,Chbalanke,8a,19-11-2004,Boulder,worked,2004-11-19,2004.0,8a
Jankyn Pasquill,1967,,Cheat,e3,19-11-1967,Boulder,,1967-11-19,1967.0,6b+
Joe Brown,1949,,Chequers Climb,vs,19-11-1949,Lead,onsight,1949-11-19,1949.0,5a
Tim Clifford,2002,,Cherry Falls,8a+,19-11-2002,Boulder,worked,2002-11-19,2002.0,8a+
Paul Pritchard,14th Feb 1987,,Chewing The Cwd,e5,14-02-1987,Lead,ground up,1987-02-14,1987.0,7a+
Adam Ondra,Aug 2023,,Chiave Della Volta,9a,19-08-2023,Lead,worked,2023-08-19,2023.0,9a
Adam Ondra,4th Nov 2023,,Chicken Nose,9a+,04-11-2023,Lead,worked,2023-04-11,2023.0,9a+
Dave Henderson,1999,E4/E5,Chicken Tikka,6c+,19-11-1999,Lead,,1999-11-19,1999.0,6c+
Loïc Zehani,16th Apr 2022,,Chikane,9b,16-04-2022,Lead,worked,2022-04-16,2022.0,9b
Osian Parry,25th Jun 2024,,Childhoods End,e7,25-06-2024,Lead,worked,2024-06-25,2024.0,7c+
Toru  Nakajima,25th Aug 2009,,Childs Play,e7,25-08-2009,Lead,worked,2009-08-25,2009.0,7c+
Matt Cousins,21st Jul 2013,,Chimera,8a+,21-07-2013,Solo,worked,2013-07-21,2013.0,8a+
Veronica Chik,25th Sep 2024,,China Climb,8b+,25-09-2024,Lead,worked,2024-09-25,2024.0,8b+
Katy Whittaker,Mar 2014,,China Crisis,8b+,19-03-2014,Lead,worked,2014-03-19,2014.0,8b+
Elijah Kiser,,,Chinese Arithmetic,8b,,Boulder,worked,,,8b
John Allen,1987,,Chip Show Brawl,7a+,19-11-1987,Boulder,worked,1987-11-19,1987.0,7a+
Pepa Šindel,6th Nov 2022,,Chiroptera,9a+,06-11-2022,Lead,worked,2022-06-11,2022.0,9a+
Tom de Gay,20th Dec 1999,,Chocolate Swastika,e7,20-12-1999,Lead,worked,1999-12-20,1999.0,7c+
Ian Cooper,29th Sep 2018,,Choreography,8c,29-09-2018,Boulder,worked,2018-09-29,2018.0,8c
Eliot Stephens,25th May 2024,,Chromatic,8b+,25-05-2024,Boulder,worked,2024-05-25,2024.0,8b+
Heather Florence,,,Chryssalida,8a,,Lead,worked,,,8a
John Dunne,2000,E8,Cindy Crawford,7c,19-11-2000,Solo,worked,2000-11-19,2000.0,7c
Ron Fawcett,1978,,Citadel,e5,19-11-1978,Lead,worked,1978-11-19,1978.0,7a+
Todd Skinner,1986,,City Park,8b,19-11-1986,Lead,worked,1986-11-19,1986.0,8b
Jorge Díaz-Rullo,11th Oct 2023,,Clin Dœil Au Paradis Den Face,8c,11-10-2023,Lead,flash,2023-11-10,2023.0,8c
John Gaskins,1997,8A+/8B,Cloning Technology,8a+,19-11-1997,Boulder,worked,1997-11-19,1997.0,8a+
Jonathan Siegrest,11th Feb 2022,,Close Encounters,9a+,11-02-2022,Lead,worked,2022-11-02,2022.0,9a+
Dave MacLeod,12th Jun 2001,,Cnippy Sweetie,e7,12-06-2001,Lead,worked,2001-12-06,2001.0,7c+
Phil Davidson,,,Cockblock,e5,,Solo,worked,,,7a+
Robin Barker,May 1994,,Cock Robin,e6,19-05-1994,Lead,worked,1994-05-19,1994.0,7b+
Steve Mayers,Oct 1990,,Cocoon,e8,19-10-1990,Lead,worked,1990-10-19,1990.0,8a+
Fred Nicole,1998,,Coeur De Lion,8b+,19-11-1998,Boulder,worked,1998-11-19,1998.0,8b+
Gordon Lennox,17th Feb 2023,,Coldfinger,e10,17-02-2023,Lead,worked,2023-02-17,2023.0,8b+
Rachel Slater,8th Nov 2013,,Coliseum,8a,08-11-2013,Lead,worked,2013-08-11,2013.0,8a
Prudence Morgan-Wood,20th Aug 2022,,Colla D’arreplegats,8b+,20-08-2022,Lead,worked,2022-08-20,2022.0,8b+
Steve Ramsden,11th Jul 2010,,Collateral,e7,11-07-2010,Lead,worked,2010-11-07,2010.0,7c+
Lucy Mitchell,13th May 2024,,Collection Automne Hiver,8b+,13-05-2024,Lead,worked,2024-05-13,2024.0,8b+
Luisa Lovane,1986,,Comeback,8a,19-11-1986,Lead,worked,1986-11-19,1986.0,8a
Mark Edwards,1992,,Comedy Of Errors,e6,19-11-1992,Lead,worked,1992-11-19,1992.0,7b+
Tim Rankin,Apr 2006,,Comfortably Numb,e8,19-04-2006,Lead,worked,2006-04-19,2006.0,8a+
James Squire,6th Mar 2022,,Commitment Issues,e9,06-03-2022,Boulder,worked,2022-06-03,2022.0,8b
Anna Moutney,2021,,Complete Control,8a,19-11-2021,Lead,worked,2021-11-19,2021.0,8a
James Pearson,29th Jul 2020,,Condé De Choc,9a,29-07-2020,Lead,worked,2020-07-29,2020.0,9a
Peter Biven,1954,,Congo Corner,hvs,19-11-1954,Lead,,1954-11-19,1954.0,5b
Jana Švecová,4th Jun 2020,,Conquistador,8b,04-06-2020,Boulder,worked,2020-04-06,2020.0,8b
Patrick Edlinger,,,Consensus,8a+,,Lead,worked,,,8a+
Jankyn Pasquill,1973,,Constables Overhang,e5,19-11-1973,Lead,,1973-11-19,1973.0,7a+
Simon Lorenzi,23rd Dec 2021,,Conviction (du Bas),8b+,23-12-2021,Boulder,worked,2021-12-23,2021.0,8b+
George Ulrich,Nov 2009,,Cool Runnings,e8,19-11-2009,Lead,worked,2009-11-19,2009.0,8a+
Ben Bransby,29th Aug 2023,,Cool Water,8b+,29-08-2023,Lead,worked,2023-08-29,2023.0,8b+
Aidan Roberts,Aug 2020,,Copperline,8b+,19-08-2020,Boulder,worked,2020-08-19,2020.0,8b+
Dave MacLeod,2nd Aug 2024,,Core Pain,8c,02-08-2024,Lead,worked,2024-02-08,2024.0,8c
Alison Monks,13th Sep 2014,,Coronary Bypass,7c,13-09-2014,Boulder,worked,2014-09-13,2014.0,7c
Chris Bonington,1965,,Coronation Street,e1,19-11-1965,Lead,onsight,1965-11-19,1965.0,5c
Bentley Beetham,10th Jun 1950,,Corvus,d,10-06-1950,Solo,onsight,1950-10-06,1950.0,d
Anak Verhoeven,Oct 2023,,Cosi Se Arete,9a,19-10-2023,Lead,worked,2023-10-19,2023.0,9a
Paul Robinson,2022,,Cosmic Loneliness,8b+,19-11-2022,Boulder,worked,2022-11-19,2022.0,8b+
Shauna Coxsey,2023,,Cosmic Wheels,7c,19-11-2023,Boulder,flash,2023-11-19,2023.0,7c
Ben Heason,1999,E7 (soft),Counting Pixies,e6,19-11-1999,Lead,worked,1999-11-19,1999.0,7b+
Alain Robert,,,"Courage, Fuyons",7a+,,Solo,worked,,,7a+
Steve Mayers,Oct 1997,,Courting Disaster,e7,19-10-1997,Lead,worked,1997-10-19,1997.0,7c+
Matilda Söderlund,2024,,Crackaholic,e8,19-11-2024,Lead,worked,2024-11-19,2024.0,8a+
Dave MacLeod,1997,,Craigs Wall,e7,19-11-1997,Lead,worked,1997-11-19,1997.0,7c+
Ron Fawcett,1977,,Crème De La Crème,e6,19-11-1977,Lead,,1977-11-19,1977.0,7b+
Isabelle Faus,19th Sep 2020,,Crème De La Crumb Sds,8b+,19-09-2020,Boulder,worked,2020-09-19,2020.0,8b+
Aidan Roberts,Sep 2024,,Crepuscular Days,8b,19-09-2024,Boulder,worked,2024-09-19,2024.0,8b
Aidan Roberts,Sep 2024,,Crepuscular Days Rh,8a+,19-09-2024,Boulder,worked,2024-09-19,2024.0,8a+
Will Bosi,Sep 2022,8B+,Crescendo Sds,8b+,19-09-2022,Boulder,worked,2022-09-19,2022.0,8b+
Ron Fawcett,Apr 1980,,Crimson Cruiser,e5,19-04-1980,Lead,worked,1980-04-19,1980.0,7a+
Ella Russell,5th Sep 2021,,Cringer,8b+,05-09-2021,Lead,worked,2021-05-09,2021.0,8b+
Anna Gilyeat,,,Cross N Angry,8a+,,Lead,worked,,,8a+
Pete Whittaker,Aug 2019,,Crown Duel,e10,19-08-2019,Lead,worked,2019-08-19,2019.0,8b+
Guy Percival,11th Aug 1999,,Crown Of Thorns,e7,11-08-1999,Lead,worked,1999-11-08,1999.0,7c+
Pete Whittaker,Between 23rd Sep 2023 and 28th Sep 2023,,Crown Royale,e11,,Lead,worked,,,8c+
Adam Ondra,2nd Nov 2015,,C.r.s.,9b,02-11-2015,Lead,worked,2015-02-11,2015.0,9b
Dan Varian,2013,,Cruachan,8a+,19-11-2013,Boulder,worked,2013-11-19,2013.0,8a+
Rob Matheson,,,Cruel Sister,e3,,Boulder,,,,6b+
Tim Reuser,8th Sep 2024,8B (soft),Crumble Fish Sds,8b,08-09-2024,Boulder,flash,2024-08-09,2024.0,8b
Steve McClure,5th Nov 2010,,Cruz Diablo,8c+,05-11-2010,Lead,worked,2010-05-11,2010.0,8c+
Alessandro Zeni,May 2020,,Cryptography,9b,19-05-2020,Lead,worked,2020-05-19,2020.0,9b
Ricky Bell,,,Crystal Methods,e8,,Solo,worked,,,8a+
Tyler Landman,2008,,Cullinan,8b,19-11-2008,Boulder,flash,2008-11-19,2008.0,8b
Arnis Strapcans,Jan 1976,,Cumming Round The Mountain,e3,19-01-1976,Lead,onsight,1976-01-19,1976.0,6b+
Neil Gresham,2007,,Cutlass,8a,19-11-2007,Deep Water Solo,ground up,2007-11-19,2007.0,8a
Franco Cookson,15th Oct 2024,,Cwms The Dogfish,8a,15-10-2024,Lead,worked,2024-10-15,2024.0,8a
Ken Palmer,Aug 2001,8a+,Cyberdog,8b,19-08-2001,Lead,worked,2001-08-19,2001.0,8b
John Kirk,,,D7,e5,,Lead,,,,7a+
James Pearson,Apr 2011,,Daddy Cool,e8,19-04-2011,Lead,flash,2011-04-19,2011.0,8a+
Katie Keeley,,,Daddy Cool,8a,,Lead,worked,,,8a
Miles Gibson,26th Sep 2009,,Dangermouse,e9,26-09-2009,Lead,worked,2009-09-26,2009.0,8b
Ignacio Sánchez González,Jun 2022,,Daños Con Laterales,8c+,19-06-2022,Boulder,worked,2022-06-19,2022.0,8c+
Steph Ward,1st Sep 2021,,Dark Energy,8a,01-09-2021,Lead,worked,2021-01-09,2021.0,8a
Jo Neame,18th Oct 2020,,Dark Matter,8b,18-10-2020,Lead,worked,2020-10-18,2020.0,8b
Solly Kemball-Dorey,29th Feb 2024,,Darkness,8a+,29-02-2024,Boulder,flash,2024-02-29,2024.0,8a+
Alan Watts,Mar 1985,,Darkness At Noon,7c+,19-03-1985,Lead,worked,1985-03-19,1985.0,7c+
James McHaffie,May 2016,,Dark Religion,e9,19-05-2016,Lead,worked,2016-05-19,2016.0,8b
Gareth Parry,Apr 2003,,Darwen Weasel,e8,19-04-2003,Lead,worked,2003-04-19,2003.0,8a+
Lucy Mitchell,13th Jan 2024,,Darwin Dans La Cave,8c,13-01-2024,Lead,worked,2024-01-13,2024.0,8c
Pete Livesey,,,Das Kapital,e6,,Lead,worked,,,7b+
