athlete,country,event,round,discipline,boulder,top,zone
Natalia GROSSMAN,USA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,3,3
Natalia GROSSMAN,USA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,7,7
Natalia GROSSMAN,USA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,6
Natalia GROSSMAN,USA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,1
Vita LUKAN,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,3,2
Vita LUKAN,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,,4
Vita LUKAN,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Vita LUKAN,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,1,1
Katja DEBEVEC,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,4,2
Katja DEBEVEC,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,1,1
Katja DEBEVEC,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Katja DEBEVEC,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,2
Miho NONAKA,JPN,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,,
Miho NONAKA,JPN,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,1,1
Miho NONAKA,JPN,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Miho NONAKA,JPN,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,2,1
Andrea KÜMIN,SUI,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,1,1
Andrea KÜMIN,SUI,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,,3
Andrea KÜMIN,SUI,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Andrea KÜMIN,SUI,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,
Brooke RABOUTOU,USA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,1,1
Brooke RABOUTOU,USA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,,
Brooke RABOUTOU,USA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Brooke RABOUTOU,USA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,4
Lucka RAKOVEC,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,4,3
Lucka RAKOVEC,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,,
Lucka RAKOVEC,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Lucka RAKOVEC,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,1
Franziska STERRER,AUT,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,,
Franziska STERRER,AUT,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,5,5
Franziska STERRER,AUT,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Franziska STERRER,AUT,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,1
Jessica PILZ,AUT,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,,
Jessica PILZ,AUT,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,5,5
Jessica PILZ,AUT,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Jessica PILZ,AUT,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,5
Stasa GEJO,SRB,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,,
Stasa GEJO,SRB,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,7,4
Stasa GEJO,SRB,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Stasa GEJO,SRB,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,2
Lucija TARKUS,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,1,1
Lucija TARKUS,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,,
Lucija TARKUS,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Lucija TARKUS,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,
Mia KRAMPL,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,,4
Mia KRAMPL,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,,16
Mia KRAMPL,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Mia KRAMPL,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,1
Roxana WIENAND,GER,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,,7
Roxana WIENAND,GER,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,,6
Roxana WIENAND,GER,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Roxana WIENAND,GER,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,
Elena KRASOVSKAIA,RUS,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,,
Elena KRASOVSKAIA,RUS,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,,
Elena KRASOVSKAIA,RUS,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Elena KRASOVSKAIA,RUS,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,3
Ayala KEREM,ISR,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,,
Ayala KEREM,ISR,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,,
Ayala KEREM,ISR,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Ayala KEREM,ISR,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,
Julia CHANOURDIE,FRA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,,
Julia CHANOURDIE,FRA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,,
Julia CHANOURDIE,FRA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Julia CHANOURDIE,FRA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,
Camilla MORONI,ITA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-1,,
Camilla MORONI,ITA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-2,,
Camilla MORONI,ITA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-3,,
Camilla MORONI,ITA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Semi-Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Semi-Final-4,,
Janja GARNBRET,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-1,1,1
Janja GARNBRET,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-2,2,2
Janja GARNBRET,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-3,2,2
Janja GARNBRET,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-4,2,1
Oriane BERTONE,FRA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-1,,4
Oriane BERTONE,FRA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-2,4,4
Oriane BERTONE,FRA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-3,4,1
Oriane BERTONE,FRA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-4,,1
Natalia GROSSMAN,USA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-1,,1
Natalia GROSSMAN,USA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-2,3,3
Natalia GROSSMAN,USA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-3,,1
Natalia GROSSMAN,USA,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-4,7,5
Akiyo NOGUCHI,JPN,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-1,,1
Akiyo NOGUCHI,JPN,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-2,,
Akiyo NOGUCHI,JPN,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-3,,3
Akiyo NOGUCHI,JPN,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-4,,3
Vita LUKAN,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-1,,1
Vita LUKAN,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-2,,2
Vita LUKAN,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-3,,
Vita LUKAN,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-4,,
Katja DEBEVEC,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-1,,1
Katja DEBEVEC,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-2,,
Katja DEBEVEC,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-3,,
Katja DEBEVEC,SLO,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Final,Boulder • Women,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021-Final-4,,5
Yoshiyuki OGATA,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-1,1,1
Yoshiyuki OGATA,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-2,2,2
Yoshiyuki OGATA,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-3,1,1
Yoshiyuki OGATA,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-4,5,5
Yoshiyuki OGATA,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-5,3,1
Adam ONDRA,CZE,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-1,2,2
Adam ONDRA,CZE,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-2,3,3
Adam ONDRA,CZE,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-3,2,1
Adam ONDRA,CZE,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-4,5,5
Adam ONDRA,CZE,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-5,2,1
Rei SUGIMOTO,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-1,3,3
Rei SUGIMOTO,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-2,,4
Rei SUGIMOTO,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-3,1,1
Rei SUGIMOTO,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-4,1,1
Rei SUGIMOTO,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-5,2,1
Mejdi SCHALCK,FRA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-1,1,1
Mejdi SCHALCK,FRA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-2,,3
Mejdi SCHALCK,FRA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-3,1,1
Mejdi SCHALCK,FRA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-4,1,1
Mejdi SCHALCK,FRA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-5,4,4
Alexander MEGOS,GER,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-1,,6
Alexander MEGOS,GER,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-2,1,1
Alexander MEGOS,GER,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-3,1,1
Alexander MEGOS,GER,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-4,2,2
Alexander MEGOS,GER,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-5,3,1
Mickael MAWEM,FRA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-1,3,3
Mickael MAWEM,FRA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-2,,1
Mickael MAWEM,FRA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-3,1,1
Mickael MAWEM,FRA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-4,1,1
Mickael MAWEM,FRA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-5,3,3
Nicolai UZNIK,AUT,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-1,2,2
Nicolai UZNIK,AUT,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-2,,4
Nicolai UZNIK,AUT,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-3,1,1
Nicolai UZNIK,AUT,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-4,5,5
Nicolai UZNIK,AUT,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-5,2,2
Colin DUFFY,USA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-1,5,5
Colin DUFFY,USA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-2,,1
Colin DUFFY,USA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-3,1,1
Colin DUFFY,USA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-4,1,1
Colin DUFFY,USA,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-5,4,2
Sohta AMAGASA,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-1,4,4
Sohta AMAGASA,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-2,3,2
Sohta AMAGASA,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-3,3,1
Sohta AMAGASA,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-4,1,1
Sohta AMAGASA,JPN,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Qualification,Boulder • Men,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021-Qualification-5,,4
